,0,1
0,cantaloupe,26048
1,message,21954
2,from,21616
3,subject,21589
4,lines,20894
5,date,20787
6,newsgroups,20404
7,path,20369
8,organization,19840
9,state,18842
10,ohio,15887
11,writes,14686
12,article,13435
13,comp,13101
14,references,12981
15,talk,12308
16,misc,11892
17,sender,11040
18,howland,10981
19,reston,10946
20,people,10364
21,like,10350
22,just,9978
23,university,9958
24,posting,9793
25,nntp,9377
26,know,9173
27,host,8934
28,think,8315
29,usenet,8308
30,zaphod,8302
31,this,7954
32,politics,7869
33,windows,7584
34,does,7267
35,time,7073
36,rutgers,7014
37,harvard,6923
38,near,6868
39,good,6308
40,crabapple,6235
41,xref,6064
42,europa,5448
43,gtefsd,5429
44,uunet,5369
45,world,5354
46,religion,5351
47,make,5191
48,what,5184
49,christian,5129
50,right,4943
51,rochester,4851
52,distribution,4753
53,club,4617
54,space,4544
55,mail,4511
56,andrew,4458
57,want,4442
58,gatech,4413
59,magnesium,4363
60,they,4356
61,said,4321
62,udel,4310
63,reply,4307
64,utexas,4283
65,used,4261
66,culture,4241
67,need,4142
68,there,4125
69,uiuc,3978
70,work,3958
71,nasa,3931
72,really,3926
73,problem,3764
74,computer,3758
75,sura,3709
76,believe,3699
77,graphics,3620
78,hardware,3595
79,netcom,3502
80,years,3405
81,going,3366
82,government,3357
83,information,3345
84,help,3325
85,point,3299
86,that,3281
87,file,3217
88,better,3216
89,year,3200
90,using,3194
91,question,3185
92,things,3122
93,read,3071
94,thanks,3041
95,software,3041
96,david,2995
97,uucp,2938
98,sure,2931
99,number,2859
100,access,2850
101,doesn,2823
102,case,2817
103,forsale,2805
104,look,2778
105,thing,2735
106,cwru,2732
107,long,2701
108,drive,2700
109,program,2690
110,fact,2675
111,available,2622
112,version,2616
113,apple,2606
114,guns,2600
115,come,2581
116,science,2575
117,atheism,2563
118,john,2532
119,power,2529
120,little,2493
121,columbia,2477
122,didn,2454
123,darwin,2403
124,sport,2397
125,best,2386
126,public,2374
127,different,2369
128,true,2356
129,probably,2314
130,group,2291
131,game,2272
132,life,2260
133,research,2249
134,line,2227
135,actually,2224
136,course,2218
137,tell,2215
138,when,2197
139,support,2196
140,great,2192
141,real,2183
142,system,2181
143,free,2146
144,washington,2130
145,high,2126
146,post,2114
147,systems,2112
148,jesus,2109
149,list,2100
150,says,2097
151,hard,2057
152,mean,2056
153,called,2044
154,second,2032
155,hockey,2017
156,possible,2015
157,image,2008
158,internet,1996
159,card,1977
160,wrong,1961
161,pitt,1957
162,stanford,1953
163,turkish,1935
164,reason,1934
165,network,1930
166,athos,1914
167,autos,1913
168,general,1889
169,mark,1888
170,please,1885
171,person,1853
172,baseball,1851
173,jewish,1848
174,order,1843
175,based,1841
176,looking,1836
177,well,1835
178,problems,1833
179,unix,1832
180,agate,1827
181,email,1818
182,maybe,1817
183,technology,1815
184,security,1807
185,human,1803
186,files,1801
187,team,1794
188,seen,1792
189,example,1786
190,having,1786
191,center,1776
192,place,1775
193,american,1765
194,israel,1751
195,quite,1747
196,info,1744
197,purdue,1742
198,following,1736
199,control,1735
200,send,1733
201,mideast,1718
202,thought,1706
203,wrote,1705
204,heard,1704
205,doing,1680
206,evidence,1675
207,chip,1669
208,means,1666
209,michael,1663
210,electronics,1663
211,crypt,1661
212,virginia,1655
213,trying,1654
214,book,1648
215,jews,1646
216,phone,1634
217,colorado,1627
218,children,1624
219,opinions,1623
220,left,1623
221,haven,1610
222,away,1609
223,given,1603
224,start,1600
225,national,1599
226,idea,1597
227,window,1597
228,today,1596
229,user,1586
230,home,1585
231,rights,1584
232,times,1578
233,berkeley,1571
234,geneva,1568
235,word,1567
236,kind,1564
237,questions,1562
238,getting,1562
239,keywords,1554
240,president,1544
241,paul,1540
242,note,1532
243,remember,1508
244,bill,1504
245,service,1501
246,games,1499
247,steve,1497
248,change,1496
249,makes,1492
250,scsi,1489
251,standard,1488
252,history,1487
253,followup,1485
254,however,1472
255,saying,1472
256,clipper,1472
257,mike,1470
258,toronto,1463
259,local,1462
260,code,1460
261,price,1458
262,source,1458
263,wupost,1458
264,wanted,1458
265,department,1449
266,server,1445
267,open,1437
268,caltech,1433
269,also,1429
270,abortion,1429
271,frank,1425
272,large,1404
273,bogus,1403
274,institute,1401
275,money,1400
276,stuff,1393
277,small,1392
278,disk,1386
279,digex,1383
280,motorcycles,1380
281,answer,1370
282,indiana,1359
283,running,1354
284,address,1349
285,clinton,1342
286,magnus,1340
287,matter,1339
288,speed,1339
289,issue,1338
290,interested,1333
291,days,1332
292,bible,1326
293,original,1325
294,agree,1324
295,approved,1322
296,after,1319
297,came,1311
298,sale,1310
299,works,1304
300,pretty,1304
301,play,1303
302,video,1301
303,told,1298
304,some,1294
305,type,1288
306,legal,1287
307,current,1286
308,states,1283
309,care,1283
310,hope,1280
311,canada,1278
312,claim,1274
313,color,1273
314,machine,1273
315,stratus,1269
316,earth,1266
317,live,1266
318,feel,1260
319,robert,1259
320,armenian,1252
321,love,1241
322,hand,1237
323,understand,1236
324,house,1233
325,mind,1231
326,college,1229
327,these,1223
328,important,1222
329,math,1213
330,simply,1212
331,church,1211
332,programs,1205
333,memory,1204
334,netnews,1198
335,april,1195
336,black,1192
337,buffalo,1191
338,engineering,1191
339,went,1190
340,truth,1188
341,including,1187
342,include,1177
343,certainly,1173
344,area,1171
345,started,1170
346,encryption,1169
347,white,1168
348,wouldn,1168
349,guess,1159
350,caen,1156
351,cause,1152
352,cornell,1150
353,dept,1149
354,health,1149
355,making,1148
356,instead,1143
357,soviet,1143
358,value,1140
359,comes,1137
360,christians,1131
361,display,1131
362,christ,1123
363,later,1122
364,sandvik,1117
365,working,1117
366,school,1111
367,igor,1105
368,death,1102
369,newsreader,1099
370,company,1095
371,country,1093
372,cost,1092
373,private,1085
374,single,1084
375,feed,1081
376,copy,1080
377,write,1078
378,text,1077
379,view,1070
380,words,1068
381,unless,1068
382,consider,1068
383,light,1065
384,hell,1065
385,opinion,1058
386,difference,1056
387,society,1055
388,pacific,1053
389,california,1050
390,police,1046
391,armenians,1046
392,faith,1045
393,austin,1041
394,known,1040
395,james,1039
396,tried,1038
397,computers,1037
398,major,1030
399,freenet,1029
400,sort,1028
401,brian,1027
402,check,1026
403,clear,1024
404,sense,1023
405,deal,1019
406,anybody,1019
407,wisc,1018
408,bitnet,1017
409,ucsd,1016
410,contact,1015
411,political,1014
412,cleveland,1008
413,objective,1007
414,services,1007
415,religious,1004
416,hedrick,1003
417,morality,1002
418,likely,999
419,aramis,999
420,iastate,998
421,city,998
422,talking,995
423,especially,994
424,similar,994
425,radio,992
426,night,991
427,press,990
428,argument,990
429,nice,985
430,package,984
431,summary,983
432,correct,982
433,koresh,982
434,women,980
435,body,980
436,couple,979
437,simple,975
438,then,975
439,blue,972
440,certain,971
441,force,971
442,happened,971
443,dead,970
444,stop,970
445,sound,969
446,board,968
447,self,967
448,peter,966
449,dave,966
450,privacy,964
451,exactly,959
452,asked,952
453,emory,951
454,books,950
455,took,950
456,east,947
457,killed,947
458,york,944
459,israeli,944
460,screen,944
461,fine,943
462,driver,943
463,moral,942
464,theory,941
465,provide,940
466,fast,940
467,sorry,937
468,situation,935
469,your,935
470,head,935
471,monitor,935
472,level,934
473,common,933
474,business,928
475,taken,926
476,format,925
477,position,923
478,test,923
479,groups,923
480,size,920
481,reading,919
482,statement,919
483,images,917
484,with,916
485,answers,913
486,western,913
487,goes,911
488,written,910
489,early,907
490,form,906
491,motif,906
492,usually,905
493,players,904
494,discussion,902
495,mchp,902
496,application,901
497,peace,900
498,personal,898
499,experience,896
500,laws,895
501,scott,895
502,rest,894
503,elroy,893
504,bike,893
505,manager,892
506,interesting,891
507,peachnet,889
508,swrinde,887
509,here,883
510,past,881
511,hear,879
512,division,876
513,transfer,875
514,keys,872
515,disclaimer,869
516,particular,868
517,period,868
518,microsoft,866
519,corp,865
520,advance,864
521,users,864
522,arizona,864
523,easy,863
524,account,863
525,turn,863
526,first,863
527,since,862
528,study,861
529,according,861
530,needed,860
531,posted,857
532,ames,856
533,office,855
534,astro,855
535,happen,853
536,needs,852
537,short,851
538,jpeg,849
539,request,848
540,physics,847
541,effect,846
542,special,846
543,numbers,845
544,series,843
545,mouse,842
546,members,841
547,corporation,841
548,future,838
549,week,838
550,season,838
551,anti,837
552,yale,837
553,texas,837
554,uses,835
555,upenn,835
556,kill,834
557,lost,834
558,months,834
559,kent,830
560,ogicse,829
561,smith,829
562,exist,828
563,media,828
564,output,827
565,ones,826
566,points,823
567,young,822
568,keith,822
569,mode,822
570,greek,821
571,model,821
572,error,820
573,thomas,819
574,drivers,819
575,duke,818
576,medical,815
577,germany,813
578,accept,812
579,expect,811
580,longer,809
581,sell,806
582,specific,805
583,where,805
584,eric,805
585,face,804
586,plus,804
587,considered,803
588,convex,803
589,recently,802
590,wasn,801
591,gets,800
592,food,796
593,communications,796
594,project,796
595,return,793
596,united,786
597,runs,785
598,sources,785
599,performance,785
600,coming,783
601,aren,781
602,taking,780
603,insurance,780
604,land,778
605,policy,777
606,king,775
607,shall,775
608,worth,774
609,international,773
610,process,772
611,values,771
612,reference,771
613,federal,771
614,offer,770
615,outside,769
616,action,767
617,speak,766
618,thinking,765
619,ground,765
620,army,765
621,various,764
622,drives,764
623,pittsburgh,764
624,built,764
625,optilink,763
626,assume,761
627,military,760
628,pipex,759
629,result,758
630,weapons,755
631,chris,752
632,results,752
633,quality,750
634,response,750
635,cars,748
636,richard,748
637,friend,746
638,water,746
639,million,745
640,doubt,744
641,total,742
642,horus,742
643,environment,741
644,navy,741
645,road,740
646,christianity,740
647,even,740
648,involved,740
649,story,739
650,present,739
651,design,739
652,build,739
653,uchicago,738
654,strong,737
655,close,737
656,voice,737
657,higher,735
658,most,734
659,allow,734
660,includes,733
661,save,732
662,explain,732
663,child,732
664,term,731
665,computing,731
666,rate,729
667,batf,729
668,league,728
669,newsserver,726
670,field,724
671,necessary,723
672,cases,723
673,report,723
674,hold,722
675,previous,722
676,george,720
677,building,720
678,uknet,720
679,programmer,720
680,couldn,719
681,comments,718
682,looks,717
683,asking,717
684,player,716
685,west,714
686,freedom,713
687,knowledge,713
688,leave,713
689,tape,713
690,related,712
691,bear,712
692,parts,712
693,deleted,711
694,issues,709
695,wants,709
696,demon,708
697,population,707
698,soon,706
699,party,705
700,lord,705
701,armenia,705
702,athena,704
703,choice,703
704,site,702
705,knows,701
706,univ,701
707,willing,698
708,tech,698
709,boston,696
710,crime,694
711,watson,693
712,while,691
713,technical,690
714,applications,690
715,development,689
716,ideas,688
717,portal,688
718,market,687
719,muslim,686
720,appreciated,685
721,decwrl,684
722,clearly,682
723,anonymous,681
724,claims,679
725,follow,678
726,modem,678
727,mentioned,677
728,section,677
729,half,674
730,sent,674
731,mcgill,674
732,many,671
733,sounds,669
734,currently,669
735,complete,667
736,ways,667
737,basis,665
738,arms,664
739,america,663
740,henry,663
741,exists,660
742,nature,660
743,administration,660
744,useful,659
745,takes,659
746,drug,659
747,arab,659
748,reasons,657
749,defense,657
750,drugs,655
751,cover,654
752,included,654
753,chicago,654
754,main,653
755,machines,651
756,europe,650
757,purpose,649
758,completely,649
759,directory,649
760,command,648
761,apps,647
762,controller,647
763,existence,646
764,court,646
765,will,645
766,scientific,645
767,average,645
768,page,642
769,belief,641
770,genocide,641
771,living,640
772,north,637
773,poster,637
774,rules,636
775,gives,636
776,doug,634
777,cards,634
778,green,634
779,individual,631
780,waco,630
781,illinois,629
782,father,629
783,bought,629
784,newsgroup,628
785,family,628
786,engine,628
787,created,627
788,origins,626
789,conspiracy,626
790,unit,626
791,mantis,625
792,required,625
793,basic,623
794,serial,623
795,create,620
796,weeks,620
797,community,620
798,shot,620
799,meaning,619
800,digital,619
801,algorithm,619
802,language,617
803,mass,617
804,base,617
805,chance,617
806,could,616
807,inside,615
808,alaska,615
809,necessarily,614
810,brown,614
811,universe,611
812,manual,611
813,noise,611
814,looked,610
815,lead,610
816,gateway,610
817,normal,610
818,only,609
819,appears,608
820,faster,608
821,cheap,607
822,turkey,607
823,supposed,606
824,device,606
825,interface,606
826,torn,606
827,student,603
828,suggest,603
829,obviously,602
830,energy,602
831,record,602
832,views,601
833,thank,601
834,paper,599
835,details,599
836,object,598
837,perhaps,598
838,muslims,598
839,class,598
840,directly,596
841,rule,596
842,gave,596
843,finally,595
844,atheists,594
845,author,594
846,gary,594
847,mcsun,592
848,owner,592
849,shuttle,590
850,reasonable,589
851,russian,589
852,zuma,589
853,figure,588
854,commercial,588
855,port,586
856,learn,585
857,lots,585
858,events,584
859,library,584
860,princeton,584
861,fido,584
862,final,584
863,advice,583
864,civil,582
865,rush,582
866,heart,582
867,spool,581
868,happy,581
869,acsu,581
870,wait,580
871,mitre,579
872,event,578
873,entire,578
874,hours,578
875,umich,578
876,andy,577
877,folks,577
878,products,576
879,joseph,576
880,release,576
881,colostate,576
882,wish,575
883,condition,575
884,secret,575
885,carleton,575
886,murdoch,575
887,terms,574
888,function,574
889,received,574
890,goal,573
891,acns,573
892,stated,572
893,oracle,571
894,processing,571
895,attack,570
896,stephen,569
897,room,569
898,ncsu,569
899,prove,568
900,entry,567
901,break,567
902,product,567
903,plan,566
904,clock,566
905,enforcement,566
906,anyone,565
907,miles,563
908,matthew,562
909,have,562
910,actions,561
911,letter,561
912,turks,561
913,illegal,560
914,adobe,560
915,msdos,560
916,responsible,559
917,wonder,559
918,definition,558
919,would,558
920,extra,558
921,bits,558
922,cramer,556
923,easily,555
924,difficult,554
925,reality,553
926,constitution,553
927,bring,553
928,station,553
929,south,552
930,nott,552
931,lives,551
932,devices,551
933,rose,551
934,congress,550
935,designed,550
936,conference,550
937,door,550
938,printer,550
939,places,548
940,tools,548
941,primate,548
942,batcomputer,547
943,limited,547
944,happens,546
945,wondering,545
946,equipment,544
947,unfortunately,543
948,carry,543
949,context,543
950,changed,543
951,cable,543
952,jeff,542
953,reports,541
954,saimiri,540
955,citizens,539
956,allowed,539
957,americans,538
958,suppose,537
959,imagine,536
960,laboratory,536
961,more,535
962,mention,534
963,analysis,534
964,recent,533
965,stand,532
966,central,532
967,evil,531
968,jvnc,531
969,amiga,531
970,solution,530
971,method,529
972,engr,529
973,fans,529
974,physical,528
975,decided,528
976,originator,528
977,hate,527
978,launch,527
979,companies,526
980,avoid,525
981,jack,525
982,late,524
983,generally,524
984,decision,524
985,facts,524
986,trouble,524
987,wife,524
988,ucsu,524
989,knew,523
990,studies,523
991,street,522
992,attempt,522
993,member,522
994,online,522
995,mnemosyne,521
996,pick,520
997,stupid,520
998,apparently,519
999,continue,519
1000,pictures,519
1001,proof,518
1002,died,518
1003,guys,518
1004,compound,518
1005,murder,517
1006,uwaterloo,516
1007,widget,516
1008,regarding,515
1009,double,515
1010,psinntp,515
1011,watch,514
1012,ctron,514
1013,escrow,514
1014,moon,513
1015,roger,513
1016,chips,513
1017,input,512
1018,define,511
1019,month,511
1020,utnut,511
1021,safety,511
1022,archive,510
1023,volume,510
1024,held,510
1025,livesey,510
1026,reported,510
1027,brought,509
1028,bell,508
1029,forget,508
1030,intercon,508
1031,coverage,508
1032,floppy,506
1033,switch,505
1034,psuvm,505
1035,apollo,505
1036,internal,504
1037,somebody,503
1038,worked,503
1039,official,503
1040,require,502
1041,middle,502
1042,title,502
1043,audio,502
1044,keyboard,501
1045,installed,501
1046,pass,500
1047,apply,499
1048,supply,499
1049,serdar,499
1050,disease,498
1051,education,498
1052,mother,498
1053,blood,497
1054,fall,496
1055,logic,496
1056,atlanta,496
1057,midway,496
1058,homosexuality,496
1059,charles,496
1060,range,495
1061,hands,495
1062,once,493
1063,trade,493
1064,lack,492
1065,because,492
1066,obvious,491
1067,argic,491
1068,friends,490
1069,quote,490
1070,worse,490
1071,teams,490
1072,orbit,490
1073,georgia,490
1074,false,489
1075,which,489
1076,search,489
1077,authority,489
1078,protect,489
1079,suspect,488
1080,mission,486
1081,killing,485
1082,gone,485
1083,names,485
1084,excellent,484
1085,giving,484
1086,mary,484
1087,starting,483
1088,natural,482
1089,music,481
1090,larry,480
1091,amendment,480
1092,shipping,480
1093,medicine,479
1094,areas,478
1095,linac,478
1096,contains,477
1097,choose,477
1098,boulder,477
1099,effective,476
1100,appropriate,476
1101,resources,475
1102,islam,475
1103,shows,475
1104,limbaugh,475
1105,writing,474
1106,appear,474
1107,yeah,474
1108,material,473
1109,disks,473
1110,approach,472
1111,addition,472
1112,adam,471
1113,saturn,471
1114,cambridge,470
1115,requires,470
1116,driving,470
1117,lower,470
1118,respect,469
1119,rich,468
1120,fonts,468
1121,social,467
1122,modern,467
1123,destroyer,467
1124,data,467
1125,ability,466
1126,published,466
1127,homosexual,465
1128,caused,464
1129,suggestions,464
1130,costs,463
1131,very,463
1132,protection,463
1133,uoknor,463
1134,another,461
1135,intel,461
1136,picture,461
1137,mormons,461
1138,trust,460
1139,provided,460
1140,secure,460
1141,poor,459
1142,electronic,459
1143,kevin,459
1144,added,459
1145,posts,458
1146,other,458
1147,heaven,458
1148,basically,457
1149,earlier,457
1150,cray,457
1151,calls,456
1152,understanding,456
1153,phil,456
1154,practice,455
1155,treatment,455
1156,possibly,454
1157,administrator,454
1158,independent,454
1159,stephanopoulos,454
1160,countries,453
1161,prevent,453
1162,comment,453
1163,mailing,452
1164,expressed,452
1165,wide,452
1166,majority,452
1167,turned,452
1168,firearms,452
1169,british,451
1170,gordon,451
1171,dseg,451
1172,stay,450
1173,regular,450
1174,ford,450
1175,perfect,449
1176,justice,449
1177,master,449
1178,lehigh,449
1179,desy,449
1180,beliefs,448
1181,leland,448
1182,played,447
1183,print,446
1184,berlin,445
1185,seriously,445
1186,again,445
1187,programming,445
1188,ericsson,444
1189,arguments,443
1190,articles,443
1191,appreciate,443
1192,fairly,443
1193,alan,443
1194,closed,442
1195,realize,442
1196,monash,442
1197,rice,442
1198,morning,442
1199,minutes,442
1200,handle,442
1201,playing,441
1202,personally,441
1203,march,441
1204,nigel,440
1205,tamu,440
1206,soldiers,440
1207,setup,440
1208,spot,440
1209,australia,439
1210,loss,439
1211,beginning,439
1212,features,439
1213,greg,439
1214,prism,439
1215,responsibility,438
1216,bruce,438
1217,kept,438
1218,block,438
1219,particularly,437
1220,changes,437
1221,sold,437
1222,reserve,436
1223,okstate,436
1224,cross,436
1225,postscript,436
1226,supports,435
1227,csus,435
1228,spirit,434
1229,increase,433
1230,standards,433
1231,tony,433
1232,sites,433
1233,acts,432
1234,shouldn,432
1235,senator,432
1236,export,432
1237,auto,431
1238,rick,431
1239,matt,430
1240,described,429
1241,serve,429
1242,option,429
1243,both,428
1244,gsfc,428
1245,last,427
1246,types,427
1247,mathew,426
1248,statements,426
1249,direct,426
1250,multiple,426
1251,remote,425
1252,pages,425
1253,straight,425
1254,font,425
1255,recall,424
1256,committee,424
1257,convert,423
1258,absolutely,423
1259,utoronto,423
1260,admin,422
1261,sera,422
1262,paid,421
1263,judge,421
1264,rocket,421
1265,step,420
1266,doctor,420
1267,dangerous,420
1268,hole,420
1269,xterm,420
1270,vote,419
1271,hello,419
1272,agents,419
1273,effort,418
1274,william,418
1275,effects,417
1276,sgiblab,417
1277,panix,417
1278,dartmouth,417
1279,defined,416
1280,merely,416
1281,temple,415
1282,sexual,415
1283,considering,414
1284,draw,414
1285,those,414
1286,behavior,414
1287,risk,414
1288,aware,414
1289,share,414
1290,concert,414
1291,operation,414
1292,dwyer,414
1293,woman,412
1294,assuming,411
1295,kids,411
1296,cancer,411
1297,flame,410
1298,born,409
1299,percent,409
1300,libertarian,409
1301,pain,409
1302,activities,409
1303,buying,409
1304,ride,409
1305,greatly,409
1306,begin,408
1307,notice,408
1308,colors,408
1309,charge,407
1310,desire,407
1311,signal,407
1312,atheist,406
1313,moment,406
1314,allows,406
1315,calling,406
1316,enterpoop,406
1317,branch,406
1318,dealer,406
1319,urbana,405
1320,expensive,405
1321,silver,405
1322,intended,404
1323,skeptic,404
1324,slow,404
1325,angeles,404
1326,setting,403
1327,planet,402
1328,thread,402
1329,actual,402
1330,informatik,402
1331,quick,401
1332,boeing,401
1333,holy,400
1334,random,400
1335,developed,400
1336,specifically,400
1337,fair,400
1338,latest,400
1339,supported,400
1340,safe,400
1341,jason,400
1342,daniel,400
1343,myers,400
1344,mentor,399
1345,islamic,397
1346,thus,396
1347,totally,396
1348,park,396
1349,ulowell,396
1350,solar,396
1351,hallam,396
1352,popular,395
1353,meant,395
1354,seeing,395
1355,errors,395
1356,cult,395
1357,hall,394
1358,vice,394
1359,nuclear,394
1360,prices,394
1361,concerned,393
1362,proper,393
1363,shell,393
1364,arabs,393
1365,fully,392
1366,surface,392
1367,magazine,391
1368,round,390
1369,fight,389
1370,speaking,389
1371,options,389
1372,wayne,389
1373,patients,389
1374,resolution,389
1375,bellcore,389
1376,review,388
1377,bunch,388
1378,fear,388
1379,aurora,388
1380,macintosh,388
1381,larc,388
1382,clarkson,388
1383,fnal,388
1384,decide,387
1385,solntze,387
1386,respond,387
1387,agency,387
1388,star,386
1389,claimed,386
1390,spend,386
1391,creation,384
1392,european,384
1393,failed,384
1394,communication,384
1395,chem,384
1396,table,383
1397,battery,383
1398,concept,382
1399,everybody,382
1400,cobb,381
1401,impossible,380
1402,count,380
1403,frame,380
1404,armed,380
1405,entirely,379
1406,ryan,379
1407,copies,379
1408,yesterday,379
1409,vancouver,379
1410,binaries,379
1411,putting,378
1412,criminals,378
1413,selling,378
1414,nation,377
1415,german,377
1416,objects,377
1417,provides,377
1418,models,377
1419,zeus,377
1420,banks,377
1421,ingr,377
1422,anyway,376
1423,absolute,376
1424,arabic,376
1425,thousands,375
1426,jake,375
1427,receive,374
1428,noticed,374
1429,warrant,374
1430,bios,374
1431,satellite,374
1432,dscomsa,374
1433,century,373
1434,greater,373
1435,compatible,373
1436,radar,373
1437,marc,373
1438,walter,372
1439,compared,372
1440,significant,372
1441,crypto,372
1442,wright,371
1443,motherboard,371
1444,brain,370
1445,status,370
1446,wings,370
1447,alternative,369
1448,connection,369
1449,prefer,369
1450,disagree,369
1451,detroit,369
1452,stick,368
1453,highly,368
1454,scripture,368
1455,newshost,368
1456,individuals,367
1457,foreign,367
1458,forces,367
1459,traffic,366
1460,consumers,366
1461,catholic,365
1462,shown,365
1463,sciences,365
1464,race,365
1465,owners,365
1466,heat,365
1467,clutch,365
1468,versions,364
1469,accepted,364
1470,parents,364
1471,weight,364
1472,drop,364
1473,moving,364
1474,brandeis,364
1475,property,363
1476,warning,363
1477,allen,362
1478,forward,362
1479,agencies,362
1480,external,361
1481,additional,361
1482,passed,361
1483,express,361
1484,training,361
1485,admit,360
1486,brad,360
1487,english,360
1488,daily,360
1489,animation,360
1490,ball,359
1491,although,359
1492,eyes,359
1493,trial,358
1494,guest,358
1495,cold,358
1496,clone,358
1497,nmsu,357
1498,concordia,357
1499,possibility,356
1500,town,356
1501,seattle,356
1502,install,356
1503,yuma,356
1504,produce,355
1505,document,355
1506,separate,355
1507,fred,355
1508,flames,355
1509,laurentian,355
1510,humans,354
1511,knowing,354
1512,regards,354
1513,genesis,354
1514,pressure,353
1515,halat,353
1516,taxes,353
1517,messages,352
1518,expected,352
1519,call,352
1520,steven,352
1521,visual,352
1522,telephone,351
1523,argue,351
1524,rusnews,351
1525,soul,351
1526,easier,351
1527,billion,351
1528,wall,351
1529,galileo,351
1530,anatolia,351
1531,bank,350
1532,sunday,350
1533,functions,350
1534,jobs,350
1535,upgrade,350
1536,vehicle,350
1537,evolution,349
1538,maine,349
1539,msuinfo,349
1540,mountain,349
